ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Dirofilaria striata,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirofilaria tenuis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirofilaria ursi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dracunculus insignis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draschia megastoma,Nematoda,Chromadorea,7,13,NA,NA,7,10,NA,NA,10,13,NA,NA,330,350
Echinochasmus perfoliatus,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinococcus granulosus,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinococcus multilocularis,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinococcus oligarthrus,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinococcus shiquicus,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinococcus sibiricensis,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinoparyphium recurvatum,Platyhelminthes,Trematoda,1.9,7.3,0.4,0.85,NA,NA,NA,NA,NA,NA,NA,NA,88,111
Echinorhynchus gadi,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinostoma cinetorchis,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinostoma hortense,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeophora elaphi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeophora sagitta,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeophora schneideri,Nematoda,Chromadorea,55,120,400,890,55,85,400,685,60,120,560,890,47,47
Elaphostrongylus alces,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
